#1,BIG UNS
#10,BIG UNS
#11,BIG UNS
#12,BIG UNS
#13,BIG UNS
#14,BIG UNS
#15,BIG UNS
#2,BIG UNS
#3,BIG UNS
#4,BIG UNS
#5,BIG UNS
#6,BIG UNS
#7,BIG UNS
#8,BIG UNS
#9,BIG UNS
#MattSorumSXM,Today 12pmET Ch38
#MattSorumSXM,Today 6pmET Ch38
#MattSorumSXM,Today 8pmET Ch38
#NewAlterBridge,@SXMOctane
#NewKoRn,@SXMOctane
#OctaneAccelerator,@SXMOctane
#OzzysBoneyard,Ch.38
#PureHardRock,@SXMOctane
#WorldsCollide,@SXMOctane
@GeminiSyndrome,#OctaneExclusive
@GeminiSyndrome,Thursday 3pm ET
@JoseMangin,@SXMOctane
@JoseMangin,Also on Liquid Metal CH. 40
@SXMOctane,fb.com/siriusxmoctane
@ShannonGunz,@SXMOctane
@ShannonGunz,Also on Faction CH. 41
@TheKaylaRiley,Also on Ozzy's Boneyard
@TheKaylaRiley,Stay Heavy
@shannongunz,FB.com/siriusxmOctane
BIG UNS,Sat 3p ET 12p PT
BIG UNS,Tmrw 12p ET 9a PT
BIG UNS,Tmrw 3p ET 12p PT
BIG UNS,Tmrw 6p ET 3p PT
BIG UNS,Tmrw 9a ET 6a PT
BIG UNS,Tod 3p ET 12p PT
BIG UNS,Tod 6p ET 3p PT
BIG UNS,Tod 9a ET 6a PT
BIG UNS,Tom 12p ET 9a PT
BIG UNS,Tom 3p ET 12p PT
BIG UNS,Tom 6p ET 3p PT
BIG UNS,Wed 6p ET 3p PT
Covino,@CovinoandRich
Covino,@SXMOctane
Covino,FB.com/covinoandrichshow
Covino,I Farted in the studio
Covino,I'm a liar - IT WAS ME!
EXCLUSIVE,@SXMOctane
Faction,SXM Ch. 41
Gemini Syndrome,Today 12pm ET
Gemini Syndrome,Today 3pm ET
Gemini Syndrome,Today 5pm ET
Gemini Syndrome,Tomorrow 12pm ET
Gemini Syndrome,Tomorrow 3pm ET
Gemini Syndrome,Tomorrow 5pm ET
Gemini Syndrome,Tomorrow 8pm ET
Good Morning!,@SXMOctane
GrantRandom,@GrantRandom
GrantRandom,@SXMOctane
GrantRandom,FB.com/SiriusxmOctane
LIVE LIFE IN THE FAST LANE,#Pure Hard R
New MUSIC!,@SXMOctane
Next Big Uns,Sat 3pE
Next Big Uns,Sun 12pE
Next Big Uns,Wed 6pE
OCTANE,PURE HARD ROCK
OUR TANK IS FILLED WITH,OCTANE!
fb.com/siriusxmoctane,@SXMOctane
Sign Up,siriusxm.com/octane
Commercial Free,@SXMOctane
Discover New Music!,@SXMOctane
High Performance Rock,@SXMOctane
Jose Mangin,FB.com/SiriusXMOctane
Kayla,@TheKaylaRiley
Kayla,OfficialKaylaRiley on FB
Rock Crusade!,@SXMOctane
Rock On The Range,May 16-18
Rocked & Loaded,@SXMOctane
Rockin' All Night Long!,@SXMOctane
Horns Up!,@SXMOctane
Pearl Jam Radio,SXM Ch. 22
Sweet Sounds of...,OCTANE!!
Hardline News,Octane
